Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,23,1,0.014600255,0.023044708270049872,0.021224451148499347,1.0857622705442362,0.2775841827477913,-0.018555215981008847,0.0646446325211086,0.138411815460191,0.07818128493656877,43
AI,23,0,0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,23,1,-0.0024129727,-0.010708194709743908,0.020829468263926797,-0.5140887215200176,0.6071899623923591,-0.05153395250704043,0.030117563087552618,0.23611945631324804,0.19384145915219206,46
X,24,1,0.0081011895,0.01654562532433612,0.018686193273438578,0.8854465477382618,0.3759158366297264,-0.020079313491603492,0.053170564140275725,0.138411815460191,0.07818128493656877,43
AI,24,1,0.02587601,0.03285066202633972,0.019140401153971778,1.7162995572599562,0.08610722932196768,-0.004664524235444965,0.0703658482881244,0.3680746239841085,0.32621072981209526,42
HU,24,1,0.051369213,0.059664426941113125,0.019674285632875446,3.0326095724367614,0.0024244905922904286,0.02110282710067725,0.098226026781549,0.23611945631324804,0.19384145915219206,46
X,25,1,0.030534914,0.038979351967487356,0.020684341581257672,1.884485992186815,0.05949926781732346,-0.0015619575317776802,0.0795206614667524,0.138411815460191,0.07818128493656877,43
AI,25,1,0.02636158,0.03333620304282511,0.01852168369702413,1.799847335055248,0.07188474738127718,-0.0029662970033421804,0.0696387030889924,0.3680746239841085,0.32621072981209526,42
HU,25,1,0.011349793,0.019644993764367347,0.01953260195771302,1.0057540622031642,0.3145338900831165,-0.01863890607275017,0.057928893601484864,0.23611945631324804,0.19384145915219206,46
X,26,0,0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,26,1,-0.025841726,-0.03281636819585195,0.02003709362271446,-1.6377808485483467,0.1014674180504253,-0.0720890716963723,0.006456335304668388,0.3680746239841085,0.32621072981209526,42
HU,26,0,-0.0,0.0,0.0,,,,,0.23611945631324804,0.19384145915219206,46
X,27,1,0.027526014,0.035970458020714025,0.01923089804443377,1.870451288213521,0.061421175426780494,-0.0017221021463761643,0.07366301818780421,0.138411815460191,0.07818128493656877,43
AI,27,1,0.0013246434,0.008299278311016348,0.01806117826044945,0.4595092408334284,0.645868517650698,-0.027100631079464577,0.04369918770149728,0.3680746239841085,0.32621072981209526,42
HU,27,1,-0.022160303,-0.03045550939825603,0.018876827264093524,-1.613380732480762,0.1066618165170279,-0.06745409083587933,0.006543072039367277,0.23611945631324804,0.19384145915219206,46
X,28,0,-0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,28,1,0.01564845,0.022623095978931966,0.017815171622784096,1.2698780824541114,0.2041280614777411,-0.012294640401724864,0.057540832359588796,0.3680746239841085,0.32621072981209526,42
HU,28,1,0.0009477049,0.009242910388522216,0.020007995555801194,0.46196083774330365,0.6441094047046855,-0.029972760900848126,0.048458581677892555,0.23611945631324804,0.19384145915219206,46
X,29,0,0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,29,1,0.07981886,0.08679349696788674,0.01845665099662206,4.702559363763865,2.5692048649956544e-06,0.0506184610145075,0.12296853292126597,0.3680746239841085,0.32621072981209526,42
HU,29,1,0.058002178,0.0662973908552641,0.01902049836364123,3.4855759080422075,0.0004910788717878875,0.02901721406252729,0.1035775676480009,0.23611945631324804,0.19384145915219206,46
X,30,1,-0.022795895,-0.03124033960177018,0.019271143648016326,-1.6210942210991148,0.10499743317624201,-0.06901178115188218,0.006531101948341819,0.138411815460191,0.07818128493656877,43
AI,30,1,-0.0346445,-0.04161913599678425,0.017925952853906107,-2.3217251733268585,0.020247738577643788,-0.07675400359044021,-0.006484268403128275,0.3680746239841085,0.32621072981209526,42
HU,30,1,-0.012785111,-0.021080315382517964,0.01993793735046367,-1.0572967008559553,0.2903761984834491,-0.06015867258942676,0.017998041824390833,0.23611945631324804,0.19384145915219206,46
X,31,1,-0.015190503,-0.023634945985407167,0.019519492061035648,-1.210838166869449,0.2259574343113967,-0.06189315042503704,0.014623258454222705,0.138411815460191,0.07818128493656877,43
AI,31,1,-0.017219337,-0.024193968216990113,0.018952007149245463,-1.2765913407727554,0.20174656056894802,-0.06133990222951122,0.012951965795530995,0.3680746239841085,0.32621072981209526,42
HU,31,1,0.013027656,0.021322843250125196,0.019941495970102335,1.0692699926873024,0.28494802784562523,-0.01776248885127538,0.060408175351525775,0.23611945631324804,0.19384145915219206,46
X,32,1,0.038155936,0.04660037151732427,0.02175397302250226,2.1421545144475886,0.032181050342899344,0.003962584393219837,0.0892381586414287,0.138411815460191,0.07818128493656877,43
AI,32,0,0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,32,1,-0.0150045585,-0.0232997622756333,0.02004914682810703,-1.1621323578202942,0.24518170552053786,-0.06259609005872308,0.01599656550745648,0.23611945631324804,0.19384145915219206,46
X,33,1,-0.023122927,-0.03156737972628004,0.020530565650421568,-1.5375796392454413,0.12415142895205451,-0.07180728840110631,0.008672528948546226,0.138411815460191,0.07818128493656877,43
AI,33,1,-0.003374943,-0.010349581361069168,0.019293212853546803,-0.5364363851491191,0.5916569904823088,-0.0481642785540209,0.027465115831882565,0.3680746239841085,0.32621072981209526,42
HU,33,1,0.0019714022,0.010266608146795812,0.021502639039706537,0.47745805190877294,0.6330359846884371,-0.031878564371029,0.05241178066462063,0.23611945631324804,0.19384145915219206,46
X,34,0,0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,34,1,0.038948383,0.04592302830652305,0.01922135178814272,2.3891674640101055,0.01688660316117341,0.008249178801763318,0.08359687781128278,0.3680746239841085,0.32621072981209526,42
HU,34,1,0.0032439902,0.011539199275188362,0.019934342558681192,0.578860288029071,0.5626834477503423,-0.027532112139826776,0.0506105106902035,0.23611945631324804,0.19384145915219206,46
