Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,27,1,0.027526014,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,27,1,0.0013246434,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,27,1,-0.022160303,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,28,0,-0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,28,1,0.01564845,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,28,1,0.0009477049,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,29,0,0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,29,1,0.07981886,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,29,1,0.058002178,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,30,1,-0.022795895,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,30,1,-0.0346445,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,30,1,-0.012785111,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,31,1,-0.015190503,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,31,1,-0.017219337,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,31,1,0.013027656,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,32,1,0.038155936,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,32,0,0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,32,1,-0.0150045585,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,33,1,-0.023122927,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,33,1,-0.003374943,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,33,1,0.0019714022,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,34,0,0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,34,1,0.038948383,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,34,1,0.0032439902,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,35,0,0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,35,1,0.015548444,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,35,1,-0.014202172,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,36,1,-0.036703926,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,36,1,-0.009020982,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,36,1,-0.005916758,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,37,1,0.04813693,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,37,0,0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,37,1,0.03826491,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,38,1,0.070625454,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,38,1,0.086655796,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,38,1,0.039460547,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,39,1,0.03715233,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,39,1,0.031869277,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,39,1,0.08300527,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,40,1,-0.04667548,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,40,1,-0.04898799,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,40,1,-0.03690385,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,41,1,-0.0028103336,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,41,1,0.015765391,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,41,1,0.026321,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,42,1,0.014615348,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,42,0,-0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,42,1,0.04833938,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,43,1,-0.054151386,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,43,1,-0.031674765,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,43,1,-0.059435964,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,44,1,0.039832197,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,44,1,0.023971392,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,44,1,0.030334739,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,45,1,0.009333819,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,45,1,0.012156614,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,45,1,0.0061676796,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,46,1,-0.0011733521,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,46,1,0.00368465,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,46,1,-0.0014161859,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,47,1,0.04800508,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,47,1,0.064556,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,47,1,0.049948517,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,48,1,-0.053683247,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,48,0,-0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,48,1,0.00857472,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,49,1,-0.022424916,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,49,1,-0.0039780443,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,49,1,-0.040658023,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,50,0,-0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,50,1,-0.051711585,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
