Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
HU,65,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,66,1,-0.047032088,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,66,1,-0.012437936,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,66,1,-0.007832434,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,67,1,-0.03724206,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,67,1,-0.008503108,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,67,1,-0.012686048,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,68,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,68,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,68,1,0.009525311,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,69,1,-0.012465494,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,69,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,69,1,-0.024303596,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,70,1,0.013233364,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,70,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,70,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,71,1,-0.033087272,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,71,1,-0.024262091,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,71,1,-0.06419073,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,72,1,-0.020177858,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,72,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,72,1,0.0064398325,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,73,1,-0.0008874783,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,73,1,0.013593057,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,73,1,0.0022501398,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,74,1,-0.03693017,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,74,1,-0.020917816,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,74,1,-0.037928272,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,75,1,-0.022911016,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,75,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,75,1,-0.0076907137,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,76,1,0.008246767,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,76,1,0.008000088,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,76,1,0.0012811536,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,77,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,77,1,-0.025694922,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,77,1,0.00013173482,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,78,1,-0.028151436,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,78,1,-0.0223083,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,78,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,79,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,79,1,-0.00854436,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,79,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,80,1,-0.0138286445,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,80,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,80,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,81,1,0.029848564,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,81,1,0.015975116,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,81,1,0.04896959,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,82,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,82,1,0.007370084,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,82,1,0.00028814355,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,83,1,-0.013842217,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,83,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,83,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,84,1,-0.049172573,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,84,1,-0.05088584,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,84,1,-0.05836138,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,85,1,0.0052258032,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,85,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,85,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,86,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,86,1,-0.0005755419,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,86,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,87,1,0.010427149,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,87,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,87,1,0.017804584,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,88,1,0.049511395,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,88,1,0.010551867,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,88,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,89,1,-0.04585386,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,89,1,-0.02748899,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,89,1,-0.05322595,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,90,1,0.0047087786,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,90,1,-0.0053337943,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,90,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,91,1,-0.024667714,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,91,1,-0.015860394,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,91,1,-0.0011035985,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,92,1,-0.005746313,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,92,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,92,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,93,1,0.0063616117,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,93,1,-0.021750081,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,93,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,94,1,-0.021694534,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,94,1,-0.0067215976,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,94,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,95,1,-0.004711239,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,95,1,-0.022660285,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,95,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
