Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,18,1,5.8898713e-05,0.00885291793531175,0.014538550724352093,0.6089271278245844,0.5425727420694675,-0.01964264148441835,0.03734847735504185,0.6231461983797097,0.6023266676625999,40
AI,18,0,-0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,18,1,-0.011204979,-0.014801504919973358,0.012786144735464185,-1.1576206296898301,0.2470188867517774,-0.03986234860148316,0.010259338761536445,0.7361314040098569,0.7174261750782035,48
X,19,1,-0.0125741055,-0.02136813959845924,0.014649488746235263,-1.4586269847779216,0.14466780228462495,-0.05008113754108036,0.007344858344161879,0.6231461983797097,0.6023266676625999,40
AI,19,1,-0.02242414,-0.03234043843108354,0.020473207352606323,-1.5796468952856315,0.11418775340493785,-0.07246792484219194,0.007787047980024851,0.26787529537075605,0.22086883849060582,40
HU,19,1,0.0048307697,0.00842728796648027,0.012740310118060065,0.6614664704695172,0.5083132103660712,-0.016543719864917455,0.033398295797877994,0.7361314040098569,0.7174261750782035,48
X,20,1,0.021659086,0.030453116943583696,0.014608586011519292,2.0846040075042533,0.037105260426337876,0.0018202883610058847,0.059085945526161504,0.6231461983797097,0.6023266676625999,40
AI,20,1,0.04646075,0.05637703226517667,0.02014095430649928,2.7991241828588223,0.0051241426497958655,0.016900761824438087,0.09585330270591526,0.26787529537075605,0.22086883849060582,40
HU,20,1,0.01737709,0.02097360429613176,0.011936741756529383,1.7570627499467537,0.07890711408959741,-0.002422409546665831,0.044369618138929354,0.7361314040098569,0.7174261750782035,48
X,21,1,-0.03531731,-0.044111342191109404,0.014666536245698728,-3.007618257790485,0.002633036577685161,-0.07285775323267892,-0.015364931149539896,0.6231461983797097,0.6023266676625999,40
AI,21,1,-0.03074243,-0.04065871887924582,0.02054848062988367,-1.9786727598786946,0.047852861812323746,-0.0809337409138178,-0.00038369684467382675,0.26787529537075605,0.22086883849060582,40
HU,21,1,0.0057148184,0.009311343657698834,0.012185909906410643,0.7641073772259235,0.44480325637952145,-0.014573039758866023,0.033195727074263694,0.7361314040098569,0.7174261750782035,48
X,22,1,-0.0607184,-0.06951243692345313,0.014976258670171798,-4.641508834372699,3.4587423115853924e-06,-0.09886590391698985,-0.04015896992991641,0.6231461983797097,0.6023266676625999,40
AI,22,1,-0.082895994,-0.09281227837684745,0.02094747939168144,-4.430713435321703,9.392183374743615e-06,-0.13386933798454306,-0.05175521876915184,0.26787529537075605,0.22086883849060582,40
HU,22,1,0.0065796124,0.010176129760818782,0.012467375715783937,0.8162206700753878,0.4143739368017877,-0.014259926642117733,0.0346121861637553,0.7361314040098569,0.7174261750782035,48
X,23,1,0.003296315,0.012090343477650908,0.01511397895325496,0.799944443157182,0.4237429865782333,-0.017533055270728813,0.04171374222603063,0.6231461983797097,0.6023266676625999,40
AI,23,1,-0.014438614,-0.024354907346976908,0.02071708049474076,-1.1755955359231067,0.2397565402633306,-0.0649603851166688,0.01625057042271498,0.26787529537075605,0.22086883849060582,40
HU,23,1,-0.038351566,-0.04194809669828218,0.01215448904633913,-3.4512431199990865,0.0005580106654464313,-0.06577089522910687,-0.018125298167457487,0.7361314040098569,0.7174261750782035,48
X,24,1,-0.07371089,-0.08250491423775579,0.014757246718829761,-5.590806727686014,2.260170462401738e-08,-0.11142911780666212,-0.05358071066884945,0.6231461983797097,0.6023266676625999,40
AI,24,1,-0.09447668,-0.10439298887535542,0.019786563132475194,-5.275953594185228,1.320675081838273e-07,-0.1431746526150068,-0.06561132513570403,0.26787529537075605,0.22086883849060582,40
HU,24,1,0.0031923042,0.006788832674112613,0.013830872987412235,0.49084628861036256,0.6235351682973365,-0.020319678381215366,0.033897343729440595,0.7361314040098569,0.7174261750782035,48
X,25,1,0.02415361,0.03294764490553227,0.014747152635837561,2.2341699254854848,0.025471894465147887,0.004043225739290654,0.06185206407177389,0.6231461983797097,0.6023266676625999,40
AI,25,1,0.013187134,0.023103441935614012,0.019711650462723187,1.1720703945773117,0.2411687949014426,-0.015531392971323436,0.06173827684255146,0.26787529537075605,0.22086883849060582,40
HU,25,1,-0.021443123,-0.02503963567487844,0.012866474994140552,-1.9461146651496697,0.051640967368235056,-0.05025792666339392,0.0001786553136370432,0.7361314040098569,0.7174261750782035,48
X,26,1,-0.05223727,-0.06103128175365264,0.015304505689351664,-3.987798298909847,6.66893244121064e-05,-0.0910281129047819,-0.03103445060252338,0.6231461983797097,0.6023266676625999,40
AI,26,1,-0.06077273,-0.07068903619201418,0.02055423802617319,-3.439146520634856,0.000583551304940438,-0.11097534272331364,-0.030402729660714722,0.26787529537075605,0.22086883849060582,40
HU,26,1,0.01957909,0.023175616126606846,0.012919004788539943,1.7939165211212889,0.07282649406172188,-0.002145633258931443,0.04849686551214513,0.7361314040098569,0.7174261750782035,48
X,27,0,-0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,27,1,0.008847441,0.018763740572448995,0.02012704220572833,0.9322651773994229,0.35119949923853466,-0.020685262150778535,0.05821274329567652,0.26787529537075605,0.22086883849060582,40
HU,27,1,0.01954229,0.023138812466060112,0.013286658978825385,1.7415072143370172,0.08159470979759431,-0.002903039132437644,0.04918066406455787,0.7361314040098569,0.7174261750782035,48
X,28,0,0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,28,0,-0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,28,1,0.0025845983,0.006181120608433978,0.013230985233352257,0.4671700934903019,0.6403781885793725,-0.019751610448936443,0.0321138516658044,0.7361314040098569,0.7174261750782035,48
X,29,1,-0.055769894,-0.06456393431950234,0.014257764594419506,-4.5283349919224145,5.945027948888948e-06,-0.09250915292456457,-0.036618715714440114,0.6231461983797097,0.6023266676625999,40
AI,29,1,-0.047694553,-0.05761086162740514,0.0197142176143969,-2.922300177174319,0.0034745649338815297,-0.09625072815162306,-0.01897099510318722,0.26787529537075605,0.22086883849060582,40
HU,29,1,0.03852242,0.042118933641657516,0.012257059115659464,3.4363001144252374,0.0005897173275351097,0.018095097774964968,0.06614276950835006,0.7361314040098569,0.7174261750782035,48
X,30,1,-0.0066111963,-0.015405231970592258,0.014750395182521902,-1.0443945250257625,0.29630289563819456,-0.044316006528335186,0.013505542587150667,0.6231461983797097,0.6023266676625999,40
AI,30,0,0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,30,1,0.018002026,0.02159854475560383,0.012730310175066442,1.6966236060694493,0.08976784394244901,-0.003352863187526395,0.046549952698734055,0.7361314040098569,0.7174261750782035,48
X,31,1,0.004018007,0.012812040249094,0.014413763220100833,0.888875448656383,0.374070021467121,-0.015438935662303633,0.04106301616049163,0.6231461983797097,0.6023266676625999,40
AI,31,1,-0.0067045437,-0.0166208466859458,0.020113734665679395,-0.8263431412519523,0.4086094674966533,-0.05604376663067741,0.022802073258785815,0.26787529537075605,0.22086883849060582,40
HU,31,1,-0.037042186,-0.04063871036302552,0.012840671989464569,-3.164842961207054,0.0015516667361606487,-0.06580642746237608,-0.015470993263674966,0.7361314040098569,0.7174261750782035,48
X,32,1,0.017443666,0.02623769927848405,0.015168988099816804,1.7296934446669467,0.08368506053677982,-0.003493517397156882,0.05596891595412498,0.6231461983797097,0.6023266676625999,40
AI,32,1,0.035160165,0.04507647863975148,0.02045952704237819,2.2032023783533092,0.027580487760591868,0.004975805636690228,0.08517715164281273,0.26787529537075605,0.22086883849060582,40
HU,32,1,0.0050056917,0.008602210459733188,0.01300410787007584,0.6614994696812693,0.5082920546007079,-0.01688584096561546,0.03409026188508184,0.7361314040098569,0.7174261750782035,48
X,33,0,-0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,33,1,0.01570471,0.02562101554520369,0.020689025692840455,1.2383867624114353,0.2155726866537243,-0.014929474812763598,0.06617150590317097,0.26787529537075605,0.22086883849060582,40
HU,33,1,0.030109905,0.03370643757687647,0.013882333176228192,2.4280095535089625,0.01518194335350126,0.006497064551469214,0.060915810602283724,0.7361314040098569,0.7174261750782035,48
X,34,1,0.018613726,0.02740775565061694,0.015398061244183027,1.779948476368793,0.07508439321201105,-0.0027724443879817914,0.057587955689215674,0.6231461983797097,0.6023266676625999,40
AI,34,0,0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,34,1,-0.037559345,-0.041155862755863144,0.012815523093163668,-3.2114071705600056,0.0013208663756078384,-0.06627428801846394,-0.016037437493262356,0.7361314040098569,0.7174261750782035,48
X,35,1,0.021871878,0.030665911573792705,0.015568194023300097,1.9697796371176162,0.048863631299070634,0.00015225128812451638,0.06117957185946089,0.6231461983797097,0.6023266676625999,40
AI,35,1,0.022666486,0.032582778225764754,0.020854558240346675,1.5623816074285308,0.11819811734676691,-0.00829215592531473,0.07345771237684423,0.26787529537075605,0.22086883849060582,40
HU,35,1,-0.0021918453,-0.005788367637051034,0.013122068779609839,-0.44111700176769997,0.6591282956557711,-0.03150762244508632,0.01993088717098425,0.7361314040098569,0.7174261750782035,48
X,36,0,-0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,36,1,0.0061909594,0.016107258085173652,0.02060528925096493,0.7817050218996251,0.43438794966734506,-0.024279108846717613,0.05649362501706492,0.26787529537075605,0.22086883849060582,40
HU,36,1,0.014619752,0.018216278215739762,0.013216293900341049,1.3783196978745824,0.1681046041476706,-0.0076876578289286936,0.044120214260408214,0.7361314040098569,0.7174261750782035,48
X,37,0,-0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
